,date
2395,74836
2396,74837
2397,74838
2398,74839
2399,74840
2400,74841
2401,74842
2402,74843
2403,74844
2404,74845
2405,74846
2406,74847
2407,74848
2408,74849
2409,74850
2410,74851
2411,74852
2412,74853
2413,74854
2414,74855
2415,74856
2416,74857
2417,74858
2418,74859
2419,74860
2420,74861
2421,74862
2422,74863
2423,74864
2424,74865
2425,74866
2426,74867
2427,74868
2428,74869
2429,74870
2430,74871
2431,74872
2432,74873
2433,74874
2434,74875
2435,74876
2436,74877
2437,74878
2438,74879
2439,74880
2440,74881
2441,74882
2442,74883
2443,74884
2444,74885
2445,74886
2446,74887
2447,74888
2448,74889
2449,74890
2450,74891
2451,74892
2452,74893
2453,74894
2454,74895
2455,74896
2456,74897
2457,74898
2458,74899
2459,74900
2460,74901
2461,74902
2462,74903
2463,74904
2464,74905
2465,74906
2466,74907
2467,74908
2468,74909
2469,74910
2470,74911
2471,74912
2472,74913
2473,74914
2474,74915
2475,74916
2476,74917
2477,74918
2478,74919
2479,74920
2480,74921
2481,74922
2482,74923
2483,74924
2484,74925
2485,74926
2486,74927
2487,74928
2488,74929
2489,74930
2490,74931
2491,74932
2492,74933
2493,74934
2494,74935
2495,74936
2496,74937
